led,BKN,FEW,OVC,altim_in_hg,dewpoint_c,elevation_m,flight_category,latitude,longitude,observation_time,precip_in,station_id,temp_c,visibility_statute_mi,wind_dir_degrees,wind_speed_kt,wx_string,temp_f,elevation_ft,cloudbase_msl,cloudbase_agl,R,G,B,clr,clr255
73,,,,30.059055,2.2,99.0,VFR,33.13,-117.28,2017-11-19T15:53:00Z,,KCRQ,14.4,10.0,80.0,3.0,,57.92,324.80316,4990.90909090909,4666.10593090909,0.0,1.0,0.0,"[0.0, 1.0, 0.0]","[0.0, 255.0, 0.0]"
74,,,,30.070866,3.3,24.0,VFR,33.28,-117.33,2017-11-19T15:57:00Z,,KNFG,10.6,10.0,0.0,0.0,,51.08,78.74016,2986.363636363636,2907.623476363636,0.0,1.0,0.0,"[0.0, 1.0, 0.0]","[0.0, 255.0, 0.0]"
75,,,,30.079725,-4.0,216.0,VFR,33.35,-117.25,2017-11-19T16:35:00Z,,KL18,17.0,10.0,30.0,6.0,,62.6,708.66144,8590.90909090909,7882.24765090909,0.0,1.0,0.0,"[0.0, 1.0, 0.0]","[0.0, 255.0, 0.0]"
76,,,,30.109253,-2.0,412.0,VFR,33.57,-117.13,2017-11-19T16:35:00Z,,KF70,13.0,10.0,20.0,3.0,,55.400000000000006,1351.70608,6136.363636363636,4784.657556363636,0.0,1.0,0.0,"[0.0, 1.0, 0.0]","[0.0, 255.0, 0.0]"
77,,,,30.070866,5.0,8.0,VFR,33.22,-117.35,2017-11-19T15:52:00Z,,KOKB,11.7,10.0,40.0,3.0,,53.06,26.24672,2740.9090909090905,2714.6623709090904,0.0,1.0,0.0,"[0.0, 1.0, 0.0]","[0.0, 255.0, 0.0]"
78,,,,30.079725,,427.0,VFR,33.03,-116.92,2017-11-19T15:53:00Z,,KRNM,12.2,10.0,0.0,0.0,,53.96,1400.91868,,,0.0,1.0,0.0,"[0.0, 1.0, 0.0]","[0.0, 255.0, 0.0]"
79,,25000,,30.070866,6.7,146.0,VFR,32.87,-117.13,2017-11-19T15:55:00Z,,KNKX,18.3,10.0,0.0,0.0,,64.94,479.00264,4745.454545454546,4266.451905454546,0.0,1.0,0.0,"[0.0, 1.0, 0.0]","[0.0, 255.0, 0.0]"
80,,,,30.070866,5.0,136.0,VFR,32.82,-117.13,2017-11-19T15:53:00Z,,KMYF,16.7,10.0,0.0,0.0,,62.06,446.19424,4786.363636363636,4340.169396363636,0.0,1.0,0.0,"[0.0, 1.0, 0.0]","[0.0, 255.0, 0.0]"
81,,,,30.088583,4.0,117.0,VFR,32.82,-116.97,2017-11-19T15:47:00Z,,KSEE,9.0,10.0,0.0,0.0,,48.2,383.85828,2045.4545454545453,1661.5962654545453,0.0,1.0,0.0,"[0.0, 1.0, 0.0]","[0.0, 255.0, 0.0]"
82,,,,30.059055,6.1,159.0,VFR,32.58,-117.0,2017-11-19T15:53:00Z,,KSDM,15.6,9.0,120.0,3.0,,60.08,521.65356,3886.363636363636,3364.7100763636363,0.0,1.0,0.0,"[0.0, 1.0, 0.0]","[0.0, 255.0, 0.0]"
